if x2 > 5.107 and x2 > 6.28 and x1 <= 12.44 and age <= 69.5 and x1 <= 5.124 and age <= 45.0 and x1 <= 5.059 then class: 0 | based on 534 samples | coverage 20.91% | error 0.0% | relevance 20.91
if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 > 3.68 and x2 <= 3.697 then class: 0 | based on 6 samples | coverage 0.23% | error 0.0% | relevance 0.23

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 <= -2.987 then class: 1 | based on 6 samples | coverage 0.25% | error 0.0% | relevance 0.25

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 <= 0.695 and x2 <= 0.606 and age <= 68.5 and x1 > 9.95 and age > 46.0 then class: 0 | based on 6 samples | coverage 0.23% | error 0.0% | relevance 0.23

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 <= -2.909 and x2 <= -2.927 and age > 25.5 and x1 <= -0.192 then class: 1 | based on 5 samples | coverage 0.2% | error 0.0% | relevance 0.2

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 <= -2.616 and x1 <= 3.233 and age > 43.5 then class: 1 | based on 5 samples | coverage 0.2% | error 0.0% | relevance 0.2

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 > -2.909 and x1 > 8.067 and age <= 45.5 then class: 1 | based on 5 samples | coverage 0.2% | error 0.0% | relevance 0.2

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 > 0.004 and x2 <= 0.145 and x2 <= 0.134 and x1 > -2.558 and x1 > 0.308 and x1 > 2.705 and age > 45.0 and x1 > 4.865 then class: 0 | based on 5 samples | coverage 0.2% | error 0.0% | relevance 0.2

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 > 3.805 and x1 > 12.371 then class: 0 | based on 5 samples | coverage 0.2% | error 0.0% | relevance 0.2

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 <= -2.616 and x1 <= 3.233 and age <= 43.5 then class: 0 | based on 5 samples | coverage 0.2% | error 0.0% | relevance 0.2

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 <= 0.004 and x2 > -0.012 then class: 0 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 > 12.971 then class: 1 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 > 3.543 and x1 > 1.705 and age <= 67.5 and x2 > 3.555 and x2 <= 3.597 and x1 <= 7.328 then class: 1 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 > 3.805 and x1 <= 12.371 and x2 > 3.829 and x2 <= 3.832 and age > 23.0 then class: 0 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 > 5.107 and x2 > 6.28 and x1 <= 12.44 and age <= 69.5 and x1 <= 5.124 and age <= 45.0 and x1 > 5.059 then class: 1 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 <= 0.695 and x2 > 0.606 and age > 62.0 and x1 <= 4.643 then class: 1 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 > 3.805 and x1 <= 12.371 and x2 <= 3.829 then class: 1 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 <= 0.695 and x2 <= 0.606 and age <= 68.5 and x1 <= 9.95 and age > 25.5 and x1 > 4.221 and age <= 45.5 and x1 <= 4.972 then class: 0 | based on 4 samples | coverage 0.16% | error 0.0% | relevance 0.16

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 <= 0.695 and x2 <= 0.606 and age <= 68.5 and x1 <= 9.95 and age <= 25.5 and x1 > 5.881 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 > 3.68 and x2 > 3.697 and x2 <= 3.715 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 <= 0.004 and x2 <= -0.012 and x1 > 12.923 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 > -2.803 and age <= 61.5 and x1 <= 3.87 and age <= 44.5 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 > 0.004 and x2 <= 0.145 and x2 <= 0.134 and x1 > -2.558 and x1 > 0.308 and x1 <= 2.705 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 > 4.506 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 > 4.493 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 <= -2.909 and x2 <= -2.927 and age > 25.5 and x1 > -0.192 and x1 > 0.24 and x2 > -2.96 and x2 <= -2.937 and age > 27.5 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 > 3.543 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 <= -2.909 and x2 <= -2.927 and age > 25.5 and x1 > -0.192 and x1 > 0.24 and x2 <= -2.96 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 <= -2.909 and x2 <= -2.927 and age <= 25.5 and x1 > 3.957 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 > 3.543 and x1 > 1.705 and age > 67.5 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 <= -2.616 and x1 > 3.233 and age > 25.5 and age <= 28.0 and x1 <= 8.115 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 > -2.803 and age <= 61.5 and x1 <= 3.87 and age > 44.5 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 <= -2.909 and x2 <= -2.927 and age > 25.5 and x1 > -0.192 and x1 > 0.24 and x2 > -2.96 and x2 > -2.937 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 <= -2.909 and x2 <= -2.927 and age > 25.5 and x1 > -0.192 and x1 > 0.24 and x2 > -2.96 and x2 <= -2.937 and age <= 27.5 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 > 4.521 and x1 <= 10.509 and age <= 64.0 and x2 > 4.557 and x2 > 4.562 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 <= -2.998 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 > 3.543 and x1 > 1.705 and age <= 67.5 and x2 > 3.555 and x2 <= 3.597 and x1 > 7.328 and x2 > 3.581 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 > 0.004 and x2 <= 0.145 and x2 > 0.134 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 > 0.004 and x2 <= 0.145 and x2 <= 0.134 and x1 > -2.558 and x1 > 0.308 and x1 > 2.705 and age > 45.0 and x1 <= 4.865 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 > 3.543 and x1 > 1.705 and age <= 67.5 and x2 > 3.555 and x2 <= 3.597 and x1 > 7.328 and x2 <= 3.581 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 > 3.543 and x1 > 1.705 and age <= 67.5 and x2 <= 3.555 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 <= -2.342 and x1 <= 8.449 and age <= 45.0 and x1 > 5.688 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 > 3.543 and x1 > 1.705 and age <= 67.5 and x2 > 3.555 and x2 > 3.597 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 <= -2.909 and x2 <= -2.927 and age > 25.5 and x1 > -0.192 and x1 <= 0.24 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 > -2.909 and x1 <= 8.067 and age <= 26.0 and x2 <= -2.862 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 > 3.68 and x2 > 3.697 and x2 > 3.715 and x1 <= 2.974 and age > 49.5 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 > 3.68 and x2 > 3.697 and x2 > 3.715 and x1 > 2.974 and age <= 45.0 and x2 > 3.797 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 > 3.68 and x2 > 3.697 and x2 > 3.715 and x1 > 2.974 and age > 45.0 and x1 <= 4.55 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 <= -2.909 and x2 > -2.927 and x1 <= -1.187 and age <= 44.0 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 > 3.609 and x1 <= 4.635 and age <= 40.0 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 <= -2.909 and x2 > -2.927 and x1 <= -1.187 and age > 44.0 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 > 3.805 and x1 <= 12.371 and x2 > 3.829 and x2 <= 3.832 and age <= 23.0 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 <= -2.616 and x1 > 3.233 and age > 25.5 and age <= 28.0 and x1 > 8.115 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 <= -2.831 and x2 > -2.998 and x2 > -2.987 and x2 > -2.909 and x1 <= 8.067 and age <= 26.0 and x2 > -2.862 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 <= -2.582 and x1 <= -0.713 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 > -2.831 and age <= 24.0 and age <= 21.0 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 <= -2.659 and x2 <= -2.803 and x2 > -2.831 and age <= 24.0 and age > 21.0 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 > 0.004 and x2 <= 0.145 and x2 <= 0.134 and x1 > -2.558 and x1 > 0.308 and x1 > 2.705 and age <= 45.0 and x1 <= 4.802 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 <= 0.159 and x2 > 0.004 and x2 <= 0.145 and x2 <= 0.134 and x1 <= -2.558 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 > 4.521 and x1 <= 10.509 and age <= 64.0 and x2 > 4.557 and x2 <= 4.562 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 > 4.521 and x1 <= 10.509 and age > 64.0 and x1 <= 4.602 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 > 4.521 and x1 <= 10.509 and age > 64.0 and x1 > 4.602 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 > 4.521 and x1 > 10.509 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 > 4.569 and x1 > 4.215 and age > 45.0 and x1 <= 4.671 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 <= -2.616 and x1 > 3.233 and age <= 25.5 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= 5.107 and x2 <= 4.569 and x2 > -2.659 and x2 <= 4.521 and x1 <= 12.971 and x2 > -2.616 and x2 > -2.582 and x2 > -2.342 and x2 > -2.036 and x2 <= 4.506 and x2 <= 4.493 and x2 <= 3.805 and x2 <= 3.68 and x2 <= 3.609 and x2 <= 3.543 and x2 <= 3.543 and x2 > 0.159 and x2 <= 0.695 and x2 <= 0.606 and age > 68.5 and x1 <= 4.08 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

