if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 <= 9.55 and x2 <= 9.534 and x2 > 1.256 and x1 <= 10.024 and age > 45.0 and x1 <= 5.055 then class: 1 | based on 662 samples | coverage 26.3% | error 0.0% | relevance 26.3
if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 <= -0.799 and x2 > -1.225 and x2 > -1.21 and x2 > -1.193 and x2 <= -0.823 and x2 > -0.882 and x2 > -0.85 and x2 <= -0.835 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 <= -1.251 and x2 <= -1.305 and x2 > -1.316 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 <= -1.933 and x2 <= -1.954 and x1 > 0.273 and age <= 60.5 and x1 > 4.962 and age > 45.0 and x2 <= -2.476 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 <= -0.799 and x2 > -1.225 and x2 > -1.21 and x2 > -1.193 and x2 > -0.823 and age > 24.0 and age > 44.5 and x1 > 3.763 then class: 0 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 <= -1.251 and x2 <= -1.305 and x2 <= -1.316 and x1 > 1.325 and age > 29.5 and x1 > 5.498 and age <= 45.0 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 > -0.799 and age > 64.5 and x1 <= 4.943 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 <= 9.55 and x2 <= 9.534 and x2 <= 1.256 and x2 > 0.95 and x1 <= 7.545 and age <= 61.0 and x1 > 4.766 and age <= 42.5 then class: 1 | based on 3 samples | coverage 0.12% | error 0.0% | relevance 0.12

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 <= -1.933 and x2 <= -1.954 and x1 > 0.273 and age <= 60.5 and x1 > 4.962 and age > 45.0 and x2 > -2.476 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 > 9.55 and age <= 29.5 and x1 <= 4.063 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 <= -0.799 and x2 > -1.225 and x2 > -1.21 and x2 > -1.193 and x2 <= -0.823 and x2 > -0.882 and x2 > -0.85 and x2 > -0.835 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 > -0.716 and x2 > -0.697 and x2 <= -0.688 and x1 > 1.155 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 <= -0.799 and x2 > -1.225 and x2 > -1.21 and x2 > -1.193 and x2 <= -0.823 and x2 <= -0.882 and age > 26.5 and x1 <= 5.649 and age <= 44.5 and x1 > 3.783 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 <= 9.55 and x2 <= 9.534 and x2 <= 1.256 and x2 > 0.95 and x1 <= 7.545 and age <= 61.0 and x1 > 4.766 and age > 42.5 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 > -0.586 and x2 > -0.556 and x2 <= -0.545 and x1 > 5.821 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 > -0.799 and age > 64.5 and x1 > 4.943 then class: 0 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 > -0.65 and x1 > -1.125 and x1 <= 12.752 and age <= 26.5 and x1 > 4.72 then class: 1 | based on 2 samples | coverage 0.08% | error 0.0% | relevance 0.08

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 > -0.716 and x2 > -0.697 and x2 > -0.688 and age <= 21.0 and x1 <= 5.586 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 > -0.586 and x2 > -0.556 and x2 > -0.545 and age > 22.0 and age > 68.0 and age > 69.5 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 <= -2.813 and x1 > 2.944 and age <= 45.5 and x1 <= 5.656 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 > -0.586 and x2 > -0.556 and x2 > -0.545 and age > 22.0 and age > 68.0 and age <= 69.5 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 > -0.586 and x2 > -0.556 and x2 > -0.545 and age <= 22.0 and x1 > 3.577 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 > -0.586 and x2 > -0.556 and x2 > -0.545 and age <= 22.0 and x1 <= 3.577 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 > -0.65 and x1 > -1.125 and x1 > 12.752 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 > -0.65 and x1 <= -1.125 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 > -0.716 and x2 > -0.697 and x2 > -0.688 and age <= 21.0 and x1 > 5.586 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 > 9.73 and x2 <= 9.779 and age <= 25.0 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 <= -1.251 and x2 > -1.305 and x1 <= -0.815 and x2 <= -1.28 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 > -0.716 and x2 > -0.697 and x2 <= -0.688 and x1 <= 1.155 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 <= -1.251 and x2 > -1.305 and x1 <= -0.815 and x2 > -1.28 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 > -0.769 and age > 25.5 and age <= 63.0 and x2 <= -0.756 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 > -0.517 and x2 > -0.494 and x2 <= 9.73 and x1 > -2.972 and x2 > 9.55 and age > 29.5 and x1 > 4.868 and age <= 45.5 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 <= -0.799 and x2 > -1.225 and x2 > -1.21 and x2 > -1.193 and x2 > -0.823 and age > 24.0 and age > 44.5 and x1 <= 3.763 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 <= -0.799 and x2 > -1.225 and x2 > -1.21 and x2 > -1.193 and x2 > -0.823 and age <= 24.0 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 <= -0.799 and x2 > -1.225 and x2 > -1.21 and x2 > -1.193 and x2 <= -0.823 and x2 <= -0.882 and age > 26.5 and x1 <= 5.649 and age > 44.5 and x1 > 5.395 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 <= -0.799 and x2 <= -1.225 and age > 22.0 and x1 <= 0.582 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 > -1.251 and x2 <= -0.799 and x2 <= -1.225 and age <= 22.0 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 <= -1.251 and x2 > -1.305 and x1 > -0.815 and x1 > 8.855 and age > 45.5 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 <= -0.769 and x2 > -1.933 and x2 <= -1.251 and x2 > -1.305 and x1 > -0.815 and x1 > 8.855 and age <= 45.5 then class: 1 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

if x2 > -2.813 and x2 <= -0.517 and x1 > -2.864 and x1 > -2.351 and x2 <= -0.586 and x2 <= -0.65 and x2 <= -0.716 and x2 > -0.769 and age > 25.5 and age <= 63.0 and x2 > -0.756 and x1 > 12.084 then class: 0 | based on 1 samples | coverage 0.04% | error 0.0% | relevance 0.04

